ID,Posted at,Screen name,Text
569274787735822336,2015-02-21 23:17:40 +0000,JLo,Party Time!!! HAPPY 7th BIRTHDAY TO THE COCONUTS!!! #thesetwoknowhowtoparty #Twins #LOVE #familia http://t.co/rQZDlS5Ps3
569006491291619328,2015-02-21 05:31:33 +0000,JLo,Tom Ford... #TFLA 😘 http://t.co/x19qfKvEmc
568852527199817728,2015-02-20 19:19:45 +0000,JLo,"RT @AmericanIdol: The #IdolTop24 were revealed last night! See how your faves reacted to the great news, again: http://t.co/0818p1OTyp http://t.co/BiYr4nRCyW"
568613478157541376,2015-02-20 03:29:52 +0000,JLo,A lot in store for you tonight on #Idol West Coast… Are you watching? 8pm on @FOXTV. #IdolTop24
568590277973159936,2015-02-20 01:57:40 +0000,JLo,RT @KeithUrban: Are y'all ready??? FINAL SPOT in #IdolTop24
568588038244315136,2015-02-20 01:48:46 +0000,JLo,RT @Gorgeous_jlo_: Brooklyn IS IN the house. 👏@JLo
568588022158983169,2015-02-20 01:48:42 +0000,JLo,RT @JamalPaisley: Brooklyn is def in the house @JLo 🙌
568587744009523200,2015-02-20 01:47:36 +0000,JLo,RT @JLozAmayziin: Brooklyn is in the house!!!! Lol @jlo #Idol
568587445081542656,2015-02-20 01:46:25 +0000,JLo,Very turnt up!!! RT @AmericanIdol: Qaasim is currently killing it on stage! #IdolHOB
568586871183253504,2015-02-20 01:44:08 +0000,JLo,RT @AmericanIdol: RETWEET if you're watching us reveal the #IdolTop24 right NOW on FOX!
568586476956430337,2015-02-20 01:42:34 +0000,JLo,@sandyxjen uhh…I’ve never made a typo!!! Lol #Idol
568584457810096128,2015-02-20 01:34:33 +0000,JLo,@ThirlwallxJLo lololol… I’m a sucker for a good performance #IdolTop24
568583976975077376,2015-02-20 01:32:38 +0000,JLo,RT @ThirlwallxJLo: I can tell if @jlo likes the performance just by her facial expressions 😂
568583632928927744,2015-02-20 01:31:16 +0000,JLo,RT @AmericanIdol: .@JLo grooving out at @HOBSunset! #IdolHOB http://t.co/xtkLJ5VoWx
568583255114452992,2015-02-20 01:29:46 +0000,JLo,RT @JLozAmayziin: @JLo He Killed It!!!! #Idol
568583234713296896,2015-02-20 01:29:41 +0000,JLo,RT @sharp_leeann: @JLo love that performance!
568583122909945856,2015-02-20 01:29:14 +0000,JLo,RT @DeJLover: @JLo yasss he was goood
568582983700992000,2015-02-20 01:28:41 +0000,JLo,Take me to chuurrch… 🙌 #IdolTop24
568581566437285889,2015-02-20 01:23:03 +0000,JLo,RT @AmericanIdol: We can't take this suspense! Will Savion Wright make it into the #IdolTop24? Tweet your thoughts now!
568580284423086080,2015-02-20 01:17:58 +0000,JLo,@MyAngelJLo @AmericanIdol thank you baby!!
568580206425825280,2015-02-20 01:17:39 +0000,JLo,RT @summerhouse330: @JLo @AmericanIdol loving the choices so far!!!!!
568580160217223168,2015-02-20 01:17:28 +0000,JLo,@xXBrandiBooXx @RyanSeacrest a lot of tough decisions this season! #IdolTop24
568580061856550912,2015-02-20 01:17:05 +0000,JLo,RT @xXBrandiBooXx: @RyanSeacrest @JLo I'm watching :) some very hard cuts but still loving the show and the talent
568578867973066752,2015-02-20 01:12:20 +0000,JLo,"RT @AmericanIdol: Alright guys, it's time to voice your opinions! Agree with our #IdolTop24 so far? Who else do you want to see snag a spot?"
568578134653534208,2015-02-20 01:09:25 +0000,JLo,RT @AmericanIdol: #FinalJudgement is serious business! Thankfully our judges know how to lighten the mood! #IdolHOB https://t.co/1mBf6mJtAr
568577828871995392,2015-02-20 01:08:12 +0000,JLo,"RT @AmericanIdol: Katherine Winston is up now and she's soothing the crowd, per usual. Take it away, lady! #IdolHOB"
568577418287390721,2015-02-20 01:06:34 +0000,JLo,New episode of #Idol on now for the East Coast…who’s watching with me? #IdolTop24
568577263647596545,2015-02-20 01:05:57 +0000,JLo,@SELFmagazine @Nike these are kinda cute too...
568575439586734082,2015-02-20 00:58:43 +0000,JLo,RT @HarryConnickJR: y'all ready for something new? we're at the house of blues tonight on @AmericanIdol at 8/7c! #IdolHOB http://t.co/QIRSOxT4HA
568573160431296512,2015-02-20 00:49:39 +0000,JLo,Detroit was fun! Who's watching #Idol with me tonight? 8/7c on @FOXTV... http://t.co/KFZELZgbMR
568551761323012096,2015-02-19 23:24:37 +0000,JLo,RT @BBjlo: #JLovers! Did you miss @JLo’s Bronx concert? Watch #NeighborhoodSessions created by @StateFarm here: http://t.co/Lw5eP1zupA
568506886405943296,2015-02-19 20:26:18 +0000,JLo,RT @AmericanIdol: Who will survive to the LIVE? Don't miss TONIGHT'S #FinalJudgement at 8/7c on @FOXTV! http://t.co/u86lsbrU2k
568471535658409984,2015-02-19 18:05:50 +0000,JLo,"RT @TomBachik: #ThrowBackThursday with @jlo 
#oscars 💅 by #tombachik #nailsbyme #nailart #nailsbytombachik Gilded tip #mani http://t.co/8ijLEdvI9t"
568278338407567360,2015-02-19 05:18:08 +0000,JLo,RT @AmericanIdol: Our judges had a great time at @HOBSunset! See your favorite moments on Youtube: http://t.co/T6cPMt8Hnt #IdolHOB https://t.co/wDyRtdhvOw
568227790530588673,2015-02-19 01:57:17 +0000,JLo,"RT @AmericanIdol: We feel you, @JLo. @HOBSunset makes us do that too! #IdolHOB http://t.co/Qes9UECOKv"
568224430771417088,2015-02-19 01:43:56 +0000,JLo,Sorry West Coast… But tonight is so good!!! There’s still so many more surprises in store. #Idol #IdolTop24 #TuneIn
568223827483701248,2015-02-19 01:41:32 +0000,JLo,"RT @AmericanIdol: Clark Beckham, TOP 24! YES! #IdolTop24"
568223763357155329,2015-02-19 01:41:16 +0000,JLo,Clark!!!!! 😍 😍  #IdolTop24
568222718035771392,2015-02-19 01:37:07 +0000,JLo,It’s so close!!!! #IdolSingOff #Idol #FinalJudgement
568219975325859840,2015-02-19 01:26:13 +0000,JLo,RT @cosmanj522: When @JLo starts making those faces you know you're doing something right. #Idoltop24 @AmericanIdol
568219898150694912,2015-02-19 01:25:55 +0000,JLo,She’s good!!! RT @AmericanIdol: Girl can sing. #IdolHOB
568218746377994240,2015-02-19 01:21:20 +0000,JLo,"@crissandaJLover @HarryConnickJR @AmericanIdol I am, I am! #Idoltop24"
568218615901597696,2015-02-19 01:20:49 +0000,JLo,RT @AmericanIdol: We can feel the intensity in that waiting room... #FinalJudgement
568193699211030528,2015-02-18 23:41:49 +0000,JLo,"RT @AmericanIdol: Two HOT shows, one HOT night! #idol & #empire heat up TONIGHT at 8/7c on @FOXTV!
https://t.co/Vl198h6KNj"
568193254778413056,2015-02-18 23:40:03 +0000,JLo,RT @tntdrama: The Bronx was ROCKING when @JLo returned for a show of a lifetime. Watch #NeighborhoodSessions created by @StateFarm: http://t.co/y4vn8U5PrL
567970595146747904,2015-02-18 08:55:16 +0000,JLo,Me and my girl @leahremini #nothingbutlaughs http://t.co/gH3bxMgUj0
567901866593501184,2015-02-18 04:22:10 +0000,JLo,RT @tntdrama: Did you miss @JLo’s return to the Bronx? Watch #NeighborhoodSessions created by @StateFarm here: http://t.co/MGN7T0LWJX
567733996621004801,2015-02-17 17:15:07 +0000,JLo,"RT @BBjlo: #JLovers, every time you tweet #NeighborhoodSessions, @StateFarm will donate $1 to Bronx neighbors! As @JLo says, #letsgetit!"
567724186932494336,2015-02-17 16:36:08 +0000,JLo,RT @StateFarm: Tweet #NeighborhoodSessions. We’ll give $1–up to $100k–to Bronx neighbors like Stephen. http://t.co/FQY32PBte8 http://t.co/GIsIX2u4wb
567393323451576321,2015-02-16 18:41:24 +0000,JLo,"Seize the day, every day. #HappyMonday #MondayMotivation #DreamBigNeverQuit"
567385652686491649,2015-02-16 18:10:55 +0000,JLo,@JLover_1602 happy bday mama!
567385533341786113,2015-02-16 18:10:27 +0000,JLo,"RT @TomBachik: #manimonday with our girl @jlo 
Loving the lip color😍 @1maryphillips 👍👍 #nails by #tombachik #jlonails #Jlovers 💅 http://t.co/YwjGmtOers"
566830031565889536,2015-02-15 05:23:05 +0000,JLo,That was fun!!! Thx for watching #NeighborhoodSessions by @StateFarm on @tntdrama w/ me tonight… #ImStill #JennyFromTheBlock #BX
566829905409617920,2015-02-15 05:22:35 +0000,JLo,RT @StateFarm: Tweet #NeighborhoodSessions. We’ll give $1–up to $100k–to Bronx neighbors like Stephen. http://t.co/FQY32PBte8
566829038572822528,2015-02-15 05:19:08 +0000,JLo,RT @iamerikestrada: @JLo Our Bronx is Beautiful. Proud to be from there. #NeighborhoodSessions Wonderful showcase of the city that shaped me. Thank you.
566828982390120449,2015-02-15 05:18:55 +0000,JLo,RT @rubendiazjr: Proud of @greenBXmachine @kipsbayclub @felipelopez13dr and their great work for The #Bronx showcased on #NeighborhoodSessions with @jlo!
566826233179037696,2015-02-15 05:07:59 +0000,JLo,"RT @rubendiazjr: What an amazing showcase of @JLo and her hometown, #TheBronx Proud to be a part of #NeighborhoodSessions! #BX stand up"
566825566020440065,2015-02-15 05:05:20 +0000,JLo,@marciaherold @desusnice 😒 😒 😒 Lololol #NeighborhoodSessions #JLoTNT
566824521068326912,2015-02-15 05:01:11 +0000,JLo,#NeighborhoodSessions RT @MoMo_BEAUTYSTAR: Loving that @JLo is teaching the community about HEALTH & giving back. #HealthIsWealth #JLoTNT
566824327778029569,2015-02-15 05:00:25 +0000,JLo,"RT @yankeenina02: Watching @JLo on #NeighborhoodSessions & you can clearly see that she is still ""Jenny from the block"" & no amount of fame will change that!"
566823944880017408,2015-02-15 04:58:54 +0000,JLo,#ImStill… RT @MaryannKuriakos: Dope to see @JLo come back to the Bronx. Never forget your roots #NeighborhoodSessions
566823670371201025,2015-02-15 04:57:48 +0000,JLo,@marciaherold @desusnice I’m watching him though… #KeepItCute #NeighborhoodSessions #JLoTNT
566823139754000385,2015-02-15 04:55:42 +0000,JLo,Love watching TV with you guys… Tweet me if you’re tuned in to @tntdrama #NeighborhoodSessions right now.
566822528119619584,2015-02-15 04:53:16 +0000,JLo,RT @Triciaaax3: saw myself like a thousand times on the #NeighborhoodSessions on tv. I feel famous 😂thanks babe @JLo love you ❤️
566822306966544384,2015-02-15 04:52:23 +0000,JLo,@AgusBeelenn thank you baby!
566822262276243457,2015-02-15 04:52:13 +0000,JLo,@danceagain24 one of my favorites as well… #NeighborhoodSessions
