ID,Posted at,Screen name,Text
569342541163864065,2015-02-22 03:46:54 +0000,ParisHilton,I ❤️ @DVF http://t.co/CyiJWrxgtz
569309305159204864,2015-02-22 01:34:50 +0000,ParisHilton,Always such a lovely time at @DVF's annual luncheon. Beautiful day with beautiful people. ❤️ http://t.co/z8X9Pp0YJh
569284816379645952,2015-02-21 23:57:31 +0000,ParisHilton,@ParisHilton: Nobody throws a party like @Rihanna! Last night was epic!🎉 Happy Birthday beautiful! 💋 http://t.co/T9tlTtiW4J
569145921369468930,2015-02-21 14:45:36 +0000,ParisHilton,Love my lil @princessparisjr 😍 #Adorable #PreciousAngel 👼 http://t.co/ZL7PBI8BG7
569131432649621504,2015-02-21 13:48:02 +0000,ParisHilton,🙌 http://t.co/3c8hc15x5C
569033552362393601,2015-02-21 07:19:05 +0000,ParisHilton,👑 http://t.co/NPR9bMGpPb
569031814049697793,2015-02-21 07:12:11 +0000,ParisHilton,11:11 - Make A Wish.... #DreamsDoComeTrue
568961059069042689,2015-02-21 02:31:01 +0000,ParisHilton,I'm in love with the #Voco. 😉 @VocoDrink http://t.co/Scl3McKNKe
568955104079917056,2015-02-21 02:07:22 +0000,ParisHilton,@teenhiIton Happy Birthday sweetie! Have an amazing bday and weekend! Love always Paris xoxo
568947359989805058,2015-02-21 01:36:35 +0000,ParisHilton,#DaisyTwins 🌼👸🐺🌼 #FBF http://t.co/ovr0yHiAds
568906521813385216,2015-02-20 22:54:19 +0000,ParisHilton,Unicorn Kisses 💋🌈👸 http://t.co/GZ9eTp13n6
568901376966832128,2015-02-20 22:33:52 +0000,ParisHilton,🌈🌈👸🌈🌈 http://t.co/VDxaJ3YtfK
568852817227554817,2015-02-20 19:20:55 +0000,ParisHilton,RT @BIRDMAN5STAR: Happy BDAY all day everyday @parishilton 2fly 2real RICHGIRL RG http://t.co/wJ4ZZNUk0Q
568845400532086787,2015-02-20 18:51:26 +0000,ParisHilton,Good morning everyone! On way to set. #PhotoshootTime 📷 Hope you all have a great day! 💋
568718648388526080,2015-02-20 10:27:46 +0000,ParisHilton,💕🐶🐶💕 http://t.co/HeXQO6VxOL
568699576359788544,2015-02-20 09:11:59 +0000,ParisHilton,#PocketPuppy 🐶 http://t.co/RMmOH0Cbys
