ID,Posted at,Screen name,Text
569348095022141441,2015-02-22 04:08:58 +0000,SportsCenter,"Bear down! No. 7 Arizona survives a scare vs UCLA, wins 57-47. Wildcats have now won 36 games in a row at home. http://t.co/mBxpfxf6oK"
569339946433171456,2015-02-22 03:36:35 +0000,SportsCenter,Chris Bosh thanks everyone for the well wishes during his recovery process. (via @chrisbosh) http://t.co/TOiOyq8PF4
569336217755619329,2015-02-22 03:21:46 +0000,SportsCenter,Rockets are latest team to bring in the Chinese New Year with these awesome uniforms! http://t.co/UXTqlSinjp
569330748102189056,2015-02-22 03:00:02 +0000,SportsCenter,"Welcome to Miami, Goran Dragic. Dragic rocks No. 7 in his first game with Heat. http://t.co/UHziDY86eS"
569328041450737664,2015-02-22 02:49:17 +0000,SportsCenter,Here's something you don't see everyday: Arizona upsets No. 17 Rice with an incredible #SCtop10 walk-off steal! http://t.co/aBDXH2PfFT
569322475366064129,2015-02-22 02:27:10 +0000,SportsCenter,"Russell Westbrook adds another double-double, his 14th of season, as Thunder beat Hornets, 110-103. http://t.co/1xrrJLllj8"
569316528212066304,2015-02-22 02:03:32 +0000,SportsCenter,"No. 1 Kentucky continues its historic start as they dominate Auburn, 110-75. Wildcats improve to 27-0 on season. http://t.co/0Ho16ZC1IB"
569313980575064064,2015-02-22 01:53:24 +0000,SportsCenter,Willie Cauley-Stein doing Willie Cauley-Stein things! #SCtop10 http://t.co/PlMv8et5vW
569290535917228033,2015-02-22 00:20:15 +0000,SportsCenter,"Why We Love Sports Today: KU manager Chris Huey quit hoops for medical reasons, but played one last time for Kansas. http://t.co/VAXOLX6WK2"
569286604621287426,2015-02-22 00:04:38 +0000,SportsCenter,"Gennady ""Good Boy"" Golovkin puts in another stellar performance w/ 11th round TKO & remains middleweight champ, his 19th KO in a row."
569275970898825216,2015-02-21 23:22:22 +0000,SportsCenter,"No. 8 Kansas holds on at Allen Fieldhouse. Devonte Graham drops a career-high 20 points as Jayhawks top TCU, 81-72. http://t.co/xjhEjy7uBu"
569262954140598272,2015-02-21 22:30:39 +0000,SportsCenter,No. 6 Villanova wins its 8th straight game in 87-76 win over Marquette. Wildcats improve to 12-2 in Big East play. http://t.co/xhWEIDagwO
569252293205491712,2015-02-21 21:48:17 +0000,SportsCenter,"The Lake Placid News heralds the reunion of the 1980 USA Hockey Team, 35 years after the Miracle on Ice. http://t.co/E4dOY9dgdd"
569251348220391424,2015-02-21 21:44:32 +0000,SportsCenter,MORE: Miami Heat say in statement that Chris Bosh is OK and his prognosis is good. http://t.co/Sraao8Ucvk
569250254643527680,2015-02-21 21:40:11 +0000,SportsCenter,BREAKING: Chris Bosh will miss remainder of the NBA season while being treated for blood clots on his lung. http://t.co/rsHpoGrUAj
569249135465013249,2015-02-21 21:35:44 +0000,SportsCenter,THIS JUST IN: Kendrick Perkins is committed to join Cavs after reaching buyout agreement w/ Jazz. (via @royceyoung) http://t.co/a4ve1R8cZL
569242861058830336,2015-02-21 21:10:48 +0000,SportsCenter,"Cardinals hold on! No. 12 Louisville overcomes double-digit deficit to beat Miami, 55-53, and end 2 game-losing skid. http://t.co/Ibp0JiC5oU"
569231076507422720,2015-02-21 20:23:59 +0000,SportsCenter,"Cardale Jones sits down with one of the men who led the way for him. Catch ""Trailblazers"" tomorrow at 7 ET, ESPN. http://t.co/HcOJkfl1wV"
569229845277872129,2015-02-21 20:19:05 +0000,SportsCenter,VCU fans have mastered the art of fake shot clock countdown. They tricked the opponent AND ref. #SCNotTop10 VIDEO: http://t.co/bAMW775mXh
569227743784771585,2015-02-21 20:10:44 +0000,SportsCenter,THIS JUST IN: Player of the Year candidate Jahlil Okafor will miss Duke's game vs Clemson today after suffering ankle injury vs UNC.
569225378138591232,2015-02-21 20:01:20 +0000,SportsCenter,RT @ESPNStatsInfo: Marcus Mariota and Jameis Winston had polar opposite 40-times today. Here's the context: http://t.co/A7ekp7wabI
569218940741689344,2015-02-21 19:35:45 +0000,SportsCenter,Golazo of the Day: Man City's Edin Dzeko with a world-class first touch and strike. #SCtop10: http://t.co/b1MOsVWAxx http://t.co/KvnmeyNPSW
569217466238410752,2015-02-21 19:29:54 +0000,SportsCenter,Melvin Gordon runs unofficial 4.52 in his first 40-yard dash attempt at NFL Combine.
569216918713962496,2015-02-21 19:27:43 +0000,SportsCenter,Cowboys LB Rolando McClain facing four-game fine for violating NFL's substance abuse policy. (via @toddarcher & @AdamSchefter)
569215194683088896,2015-02-21 19:20:52 +0000,SportsCenter,Manchester City gain ground in EPL table with 5-0 romp over Newcastle. http://t.co/UQdh67cSRB
569211514030309376,2015-02-21 19:06:15 +0000,SportsCenter,"Syracuse retired former great Roosevelt Bouie's jersey today. 

Only problem... they spelled his last name wrong. http://t.co/ktqzbSUvq9"
569207296770871296,2015-02-21 18:49:29 +0000,SportsCenter,"So... Georgia's Chris Conley is a freak.
40-yard dash: 4.35
Vertical Jump: 45"" (ties combine record)
Broad Jump: 11'7"" (ties combine record)"
569206289236144128,2015-02-21 18:45:29 +0000,SportsCenter,"Badgers win the Border Battle! No. 5 Wisconsin beats Minnesota, 63-53, to improve to 25-2 on the season."
569195864448757761,2015-02-21 18:04:03 +0000,SportsCenter,RT @ESPNStatsInfo: Marcus Mariota's unofficial 4.52 40-time is the fastest by a QB at the combine since RGIII ran a 4.41 in 2012.
569191971950092289,2015-02-21 17:48:35 +0000,SportsCenter,"UNC scores on first play of game with Four Corners offense, made famous by Dean Smith. VIDEO: http://t.co/xB53pvYH1G"
569190815966334976,2015-02-21 17:44:00 +0000,SportsCenter,How much force does it REALLY take to knock someone over? John Brenkus breaks down the science of flopping. VIDEO: http://t.co/M1RD4Rb7EV
569188727827927040,2015-02-21 17:35:42 +0000,SportsCenter,"That didn't take long. Sergio Aguero with the first minute goal for Manchester City -- Citizens lead Newcastle, 1-0."
569187140317413376,2015-02-21 17:29:23 +0000,SportsCenter,Gloves worn by Muhammad Ali & Sonny Liston during their 1965 rematch will be auctioned. http://t.co/L8WQFgoGna
569183829791010816,2015-02-21 17:16:14 +0000,SportsCenter,"J.J. Nelson can FLY! UAB Blazers receiver runs an unofficial 4.29 in the 40, fastest time at the combine so far."
569179639693897728,2015-02-21 16:59:35 +0000,SportsCenter,19th-place Burnley stuns Chelsea in 1-1 draw. Benjamin Mee with 81st minute equalizer. VIDEO: http://t.co/IbP97w8xgS http://t.co/iWhrQNpybf
