ID,Posted at,Screen name,Text
569342827504603136,2015-02-22 03:48:02 +0000,SrBachchan,T 1777 - Damn .. damn ... Rohit out .. unwanted run out .. ok this online commentating is not working .. so going off .. INDIA INDIA
569341690965659648,2015-02-22 03:43:31 +0000,SrBachchan,T 1777 - Fouurrrrrr !! Shikhar 4 runs off Steyn .. 9-0 in 2.4
569340955414769664,2015-02-22 03:40:36 +0000,SrBachchan,T 1777 - A 4 .. from Shikar .. and a run .. 5 runs in 2 overs .. INDIA INDIA  !!
569340496708919296,2015-02-22 03:38:46 +0000,SrBachchan,T 1777 - ATB : all the best
569340258799656960,2015-02-22 03:37:50 +0000,SrBachchan,"T 1777 - The game begins, India v SoAf, India bats first .. and sitting in front of them in the audience on Tv is your ex commentator ! ATB"
569216248661172224,2015-02-21 19:25:03 +0000,SrBachchan,@ChelseaFC @gauravchawla agree ... two penalties were due to us Chelsea FC
569211205715251200,2015-02-21 19:05:01 +0000,SrBachchan,T 1776 - In the company of political greats this morning .. http://t.co/4brMovxH5w
569208396932448256,2015-02-21 18:53:51 +0000,SrBachchan,"T 1776 - Tomorrow's Sunday meet shall have to be missed. I have an event in town on Film Preservation .. a most vital pursuit, of value !!"
569204226477330432,2015-02-21 18:37:17 +0000,SrBachchan,"T 1776 - But no matter how harsh and opposing they may be in their political ideology, they come on one platform for family events .."
569203893344739328,2015-02-21 18:35:58 +0000,SrBachchan,"T 1776 - The respect and the culture of these regions is so steeped in equanimity tradition, yet when it comes to politics they could differ"
569203277042094080,2015-02-21 18:33:31 +0000,SrBachchan,T 1776 - Also it is valuable to understand that India resides in the rural and small towns .. be with them and ye shall realise the truth !
569203010531766272,2015-02-21 18:32:27 +0000,SrBachchan,"T 1776 - When political power presents itself, its an awesome experience ..with the PM and CM and ex CM's and Cabinet bigs, its incredible"
569202290231390209,2015-02-21 18:29:35 +0000,SrBachchan,"T 1776 - Back from whirlwind travel .. to Saifai for wedding event, diverted to Lucknow due visibility .. helicopter to Saifai and back home"
569107717966532609,2015-02-21 12:13:48 +0000,SrBachchan,@Anu_Dubai @poothegr8 @1mgupta @EFAnamika jadu japphi
569107524273594370,2015-02-21 12:13:01 +0000,SrBachchan,@gauravsahani sahi kaha
569107309990772736,2015-02-21 12:12:10 +0000,SrBachchan,@alenushkaykina love
569107202796969984,2015-02-21 12:11:45 +0000,SrBachchan,@supershamz cool
569107072526077952,2015-02-21 12:11:14 +0000,SrBachchan,@Sushmitha_m very grateful
569105259978567680,2015-02-21 12:04:02 +0000,SrBachchan,@craghukamath thank full for that. ..
569104613997088769,2015-02-21 12:01:28 +0000,SrBachchan,@vijpav yes of course  ..
569104274442969089,2015-02-21 12:00:07 +0000,SrBachchan,@SONIYALUVSU ji shukriya
569104147280056321,2015-02-21 11:59:36 +0000,SrBachchan,@SrBachchan many thanks
569104049410170880,2015-02-21 11:59:13 +0000,SrBachchan,@sweetysagar I am humbled
569103776205836288,2015-02-21 11:58:08 +0000,SrBachchan,@satishjha65 thank you
569103529241022465,2015-02-21 11:57:09 +0000,SrBachchan,@stavan1110 it's Saifai  .. a city in UP
569103153536217090,2015-02-21 11:55:39 +0000,SrBachchan,@UlteSawaal ji nahin
569102858890510337,2015-02-21 11:54:29 +0000,SrBachchan,@Bachchanite not there anymore. ..
569102517239291904,2015-02-21 11:53:08 +0000,SrBachchan,@LakushShiva grateful
569102453074849792,2015-02-21 11:52:52 +0000,SrBachchan,@168pradeep @MBHRishabh @Anu_Dubai hello
569102246480228354,2015-02-21 11:52:03 +0000,SrBachchan,@indravikram @dhanushkraja so kind of you .. thank you
569102098941366272,2015-02-21 11:51:28 +0000,SrBachchan,@peeyushmalhotra it's Saifai  in UP ..
569101988400467968,2015-02-21 11:51:02 +0000,SrBachchan,@shrikantd31 thanks
569101883756802048,2015-02-21 11:50:37 +0000,SrBachchan,@rav1ja thanks
569101747651813377,2015-02-21 11:50:04 +0000,SrBachchan,@WeRUttarPradesh I shall try my utmost. ..
569101607108870144,2015-02-21 11:49:31 +0000,SrBachchan,@Magda66lena get who back .. or is it still on joke mode
569101252526616576,2015-02-21 11:48:06 +0000,SrBachchan,@nitya290 yes I do and am back
569101061975252994,2015-02-21 11:47:21 +0000,SrBachchan,@KonanSeabird ji shukriya .. alhamdullilah
569100715731214336,2015-02-21 11:45:58 +0000,SrBachchan,@Thekkapoor @Fatima2000 @mitenlapsiya @MBHRishabh @EFAnamika indeed  yes
569100589436522497,2015-02-21 11:45:28 +0000,SrBachchan,@nitya290 yes I shall ..
569100289833193472,2015-02-21 11:44:17 +0000,SrBachchan,@MukherjiRatna you in particular  will love  it
569100027966001153,2015-02-21 11:43:14 +0000,SrBachchan,@antara249 came to the airport  for a while and left
569099877931573248,2015-02-21 11:42:38 +0000,SrBachchan,@MukherjiRatna I will
569099424435011587,2015-02-21 11:40:50 +0000,SrBachchan,@rupeshdubey3 @sgprasha @YUVSTRONG12 much gratitude
569099150840573952,2015-02-21 11:39:45 +0000,SrBachchan,@MukherjiRatna thanks
569098990358126592,2015-02-21 11:39:07 +0000,SrBachchan,@hodabachchan good morning  to you
569098886586896384,2015-02-21 11:38:42 +0000,SrBachchan,@malankdandotia no more commentary  .. over
