ID,Posted at,Screen name,Text
569243540565336064,2015-02-21 21:13:30 +0000,TheEllenShow,Looks like not everyone is thrilled about the new baby. http://t.co/9QDvqAbc1d
569209655194292224,2015-02-21 18:58:51 +0000,TheEllenShow,"Happy birthday, @EllenPage! Juno I love you."
568932289435930624,2015-02-21 00:36:42 +0000,TheEllenShow,Where does Meryl Streep put all of her Academy Awards? I don’t know. I’ll Oscar. #ClassicJokeFriday
568921178833752064,2015-02-20 23:52:33 +0000,TheEllenShow,.@DunkinDonuts sponsored my Oscar show & gave coffee to my audience. They loved it! (Some are still here dancing.) http://t.co/loJVkSyMfY
568907415481032705,2015-02-20 22:57:52 +0000,TheEllenShow,"I see London, I see France, on my backstage camera I see @JustinBieber dance. http://t.co/zWoBowEM79
https://t.co/BuPxIe4ZUp"
568890055202177024,2015-02-20 21:48:53 +0000,TheEllenShow,"Happy birthday, @Rihanna! Make a wish. http://t.co/QYMRsXKqal"
568862590396338177,2015-02-20 19:59:45 +0000,TheEllenShow,.@JustinBieber isn’t afraid of his upcoming roast. Unless they hide Calvin Klein models in the tables to scare him. http://t.co/wmtNAv0smM
568848496331087872,2015-02-20 19:03:44 +0000,TheEllenShow,"Noah played ""@HeadsUp! Pictures"" backstage with his friend, Robby. Get it in the app store! http://t.co/voFjefdmUA
https://t.co/sRJrEDEIir"
568613426726977538,2015-02-20 03:29:39 +0000,TheEllenShow,Yeah I did. RT @justinbieber: I think today was our best hang out yet. @TheEllenShow u got me. Lol http://t.co/9JQRliXVHX
568542793682911233,2015-02-19 22:48:59 +0000,TheEllenShow,Happy #ThrowbackThursday http://t.co/uoJkl3mxm7
568501773687783424,2015-02-19 20:05:59 +0000,TheEllenShow,"I sent Noah Ritter to Hawaii so he could have a wonderful vacation, but mostly so he could come here and hula. http://t.co/8C5yPceX9b"
568466092508602368,2015-02-19 17:44:12 +0000,TheEllenShow,"Happy birthday to the first lady of “Scandal,"" @BellamyYoung! You might be getting Bellamy older, but you only look Bellamy younger."
568211554342039552,2015-02-19 00:52:46 +0000,TheEllenShow,"It’s #AshWednesday! It always falls right between two of my favorite holidays, Fat Tuesday and Throwback Thursday."
568195011897991168,2015-02-18 23:47:02 +0000,TheEllenShow,.@ActuallyNPH is on my show today and I told him a brilliant joke. I hope he uses it at the Oscars this Sunday. http://t.co/bnEUQpuxj5
568185293423054848,2015-02-18 23:08:24 +0000,TheEllenShow,You bet!  o/ \o (that’s us high-fiving) RT @justinbieber: @TheEllenShow again this week? ;) miss me?
568169126444675072,2015-02-18 22:04:10 +0000,TheEllenShow,"Time to give something up for Lent! Last yr I was playing hide & go seek with my cousin, & I gave up looking. I hope she’s not still hiding."
568140750736605184,2015-02-18 20:11:25 +0000,TheEllenShow,Happy #YoureWelcomeWednesday http://t.co/9W07bvf7VR
568121645140803584,2015-02-18 18:55:30 +0000,TheEllenShow,"If you missed Macey Hensley on my show, you’re gonna wanna watch this. #YoureWelcomeWednesday http://t.co/FWhnqkNdN8"
568107115153203200,2015-02-18 17:57:45 +0000,TheEllenShow,"Happy birthday @DrDre! You have it all- an amazing music career, an amazing business, I don't know how you found time to attend med school."
567901649596870656,2015-02-18 04:21:19 +0000,TheEllenShow,RT @KatieQLowes: .@scottkfoley on #RepeatAfterMe tonight!! #ScandalFam #EllenFam
567866146453463041,2015-02-18 02:00:14 +0000,TheEllenShow,That was the first episode of #RepeatAfterMe! I can't wait for you to see what happens next week.
567865782522089472,2015-02-18 01:58:47 +0000,TheEllenShow,"I don't know what “Baby Randy"" is and I don't want anyone to tell me.  #RepeatAfterMe"
567863725727690752,2015-02-18 01:50:37 +0000,TheEllenShow,"You know what they say: When life hands you a sweet potato, you're probably on a hidden camera show. #RepeatAfterMe"
567862935466348544,2015-02-18 01:47:28 +0000,TheEllenShow,"Fun fact: When Portia and I got married, I learned Australian. I didn't know a word she was saying before then. #RepeatAfterMe"
567861574053920769,2015-02-18 01:42:04 +0000,TheEllenShow,"I told them to make @ScottKFoley take his shirt off, but they said it’s “not that kind of show.”  #RepeatAfterMe"
567861309724717057,2015-02-18 01:41:01 +0000,TheEllenShow,.@ScottKFoley needs to hire this nanny. She's wonderful.  #RepeatAfterMe
567859684696178691,2015-02-18 01:34:33 +0000,TheEllenShow,My apologies to @KerryWashington. And turtles. You both smell wonderful. #RepeatAfterMe
567858800780124161,2015-02-18 01:31:03 +0000,TheEllenShow,"I loved @WendiMcLendonCo in Bridesmaids. I also loved her in Avatar. I’m not sure who she played, but it was on her résumé. #RepeatAfterMe"
567857474398588928,2015-02-18 01:25:46 +0000,TheEllenShow,#RepeatAfterMe starts in 5 minutes! I wanted to call it #RepeatAfterWendiMcLendonCovey but that’s already a show in Guam.
567849803176022016,2015-02-18 00:55:17 +0000,TheEllenShow,"RT @ModernFam: Tonight at 8:30|7:30c, @Sarah_Hyland will make you laugh on the premiere of ABC's new show, #RepeatAfterMe. http://t.co/nh4UQglIHM"
567836267242635265,2015-02-18 00:01:30 +0000,TheEllenShow,You're lookin' Vine. RT @justinbieber: :) http://t.co/r1if9n84GM
