ID,Posted at,Screen name,Text
569300622358523904,2015-02-22 01:00:20 +0000,YouTube,You never know what’s gonna happen at the #Oscars. http://t.co/lmf81xouuJ http://t.co/LXks4mWGuS
569270416465924098,2015-02-21 23:00:18 +0000,YouTube,You’ve been thundersnowed. http://t.co/NruYLEquQH http://t.co/TR0ZDmvg6s
569240221700784128,2015-02-21 21:00:19 +0000,YouTube,This guy’s got a magic iPad. http://t.co/tthxwTX7Lc http://t.co/gAoJMGlyEH
569209994190708739,2015-02-21 19:00:12 +0000,YouTube,These trick shots from SDSU’s Women’s Golf Team are too hot! http://t.co/qcO7D6VfE8 http://t.co/CdzXfUfDkv
569179905184927745,2015-02-21 17:00:38 +0000,YouTube,.@FuriousPete gracefully inhales an In-N-Out burger. http://t.co/rAVbkcCdyh http://t.co/d4o8sE1nim
568983498540888065,2015-02-21 04:00:11 +0000,YouTube,Oscar ❤️’s bubbles. http://t.co/MNIB002NO7 http://t.co/TbKDUiuM8m
568968402297073664,2015-02-21 03:00:12 +0000,YouTube,The evolution of beauty in Iran. http://t.co/kyV2k7MFHq http://t.co/KNooe9emia
568953285673156608,2015-02-21 02:00:08 +0000,YouTube,#BirdBomb. http://t.co/7rWU8yqXTM http://t.co/Sh3rlE9fGd
568938204419776512,2015-02-21 01:00:12 +0000,YouTube,Om nom nom. Bleep. Bloop. Blip. http://t.co/nPI1alUfzU http://t.co/U530rAS1ug
568923099443425280,2015-02-21 00:00:11 +0000,YouTube,Celebrating 25 years of digitally manipulating reality. http://t.co/uQSZQ4CBFP #25YearsOfPhotoshop http://t.co/Vmyn6b9Zlg
568908050180018176,2015-02-20 23:00:23 +0000,YouTube,Wishing @rihanna a happy birthday-ay-ay-ay. http://t.co/MUipvUYOk9 #YouTubeMix http://t.co/Y3mT9rblY0
568892887762669568,2015-02-20 22:00:08 +0000,YouTube,Will it GoPro? http://t.co/CnYuPy4DI2 http://t.co/wTMMt1ACs9
568875011068571649,2015-02-20 20:49:06 +0000,YouTube,"We’re about that pug life, dog. http://t.co/Qan3eMSYZR #LoveYourPetDay http://t.co/fARB5CbE9b"
568844043897196545,2015-02-20 18:46:03 +0000,YouTube,"@ShrlynMukherjee Sidrah, you are a very lucky person."
568843869208637440,2015-02-20 18:45:21 +0000,YouTube,@OiCCaboose What's that yellow circle thing with the lines around it? That doesn't look like snow or cold.
568843757371727873,2015-02-20 18:44:55 +0000,YouTube,@plzclifford It's also hard for us to watch melting snowmen. https://t.co/GWvlMsdtW6 ⛄️⛄️😭
568843504450994177,2015-02-20 18:43:54 +0000,YouTube,@TheMartinSalas Is rain what snow becomes eventually? It's been so cold for so long in the north that we've forgotten.
568628637890715648,2015-02-20 04:30:06 +0000,YouTube,#SNL40 is on YouTube. Let the smile cover your face. http://t.co/RinlbzRCp3 http://t.co/mflZuiYLsr
568613543756623872,2015-02-20 03:30:07 +0000,YouTube,"Kill ‘em with cuteness, little guys. http://t.co/DtUTUa23uo http://t.co/eaPeGppBU5"
568598437714903040,2015-02-20 02:30:06 +0000,YouTube,Popcorn. How? http://t.co/k0Cbb76v5h http://t.co/UFrJmFslDF
568583340967796736,2015-02-20 01:30:06 +0000,YouTube,Can we talk about the weather? http://t.co/KQYczNytWx http://t.co/J8TapnwBTL
568568248205242369,2015-02-20 00:30:08 +0000,YouTube,".@karminmusic can’t think about anybody but you, sugar. http://t.co/6VST88YUUn http://t.co/fwo9kibIGY"
568553149675524096,2015-02-19 23:30:08 +0000,YouTube,Mama said knock @flula out. http://t.co/SNLPOCvXmx http://t.co/2W9AkBvDNL
568541226087149568,2015-02-19 22:42:45 +0000,YouTube,@BklynActiveMama Glad you enjoyed your time at the YouTube Space!
568540678940196865,2015-02-19 22:40:35 +0000,YouTube,@buckhollywood STILL GOT IT! 👏👏👏
568538061673332737,2015-02-19 22:30:11 +0000,YouTube,Can you guess what this is? http://t.co/Z1bGf6G8ra http://t.co/M2QNsN5BaK
568527994156769280,2015-02-19 21:50:11 +0000,YouTube,Kicking off the #YearoftheGoat with a healthy scream. http://t.co/rZNml9gXZo
568510627217408000,2015-02-19 20:41:10 +0000,YouTube,"#tbt to when @justinbieber was like, “Baby, baby, baby, oooh!"" http://t.co/zXhLeZATOo #5YearsOfBabyMusicVideo http://t.co/DZnp9rAovo"
568243595536416768,2015-02-19 03:00:05 +0000,YouTube,Why you gotta be so slimy? http://t.co/9iCZ888ibb http://t.co/lJs36BNNiK
568228565541646337,2015-02-19 02:00:21 +0000,YouTube,.@TarynSouthern wants you to #ChangeItUp. http://t.co/QjUskT7VKv http://t.co/HWdBYiySvX
568213408308432896,2015-02-19 01:00:08 +0000,YouTube,You’re looking at one big lie. http://t.co/ZaSBrGyzce http://t.co/OAtAaxiUmE
568198331798847488,2015-02-19 00:00:13 +0000,YouTube,.@andrewismusic makes music with his fans. http://t.co/LDlZR4LRfg http://t.co/vT739ECVyH
568197995461812224,2015-02-18 23:58:53 +0000,YouTube,@duckrabbitblog So powerful! It reminds us of an amazing video by @Koyczan https://t.co/95VPGiSMma
568197871260073984,2015-02-18 23:58:23 +0000,YouTube,@rkhooks We can't wait! Any hints for what's khooking in the kitchen?
568183252999151616,2015-02-18 23:00:18 +0000,YouTube,"Holy crepe, that's tiny. http://t.co/1XcnbnPxET http://t.co/Bc4Xo0z5Bd"
568168124987645955,2015-02-18 22:00:11 +0000,YouTube,The Sahara is basically a sandbox for adults. http://t.co/gJrOKA9WI8 http://t.co/KAGhSj8WN7
568153009731072000,2015-02-18 21:00:07 +0000,YouTube,"Ooooh #beliebers, ya boy @justinbieber just got egged!  http://t.co/Dt5LwYOlXJ http://t.co/I7ktrct0fZ"
568146210953031680,2015-02-18 20:33:06 +0000,YouTube,Happy #DreDay. http://t.co/lXjqGA8pOj http://t.co/YbWrYdjQax
568111554132094977,2015-02-18 18:15:24 +0000,YouTube,@Maxgschneider YOU DA MAN!!! 💯💯💯
567881218424987648,2015-02-18 03:00:07 +0000,YouTube,Ping Pong Trick Shots Part Two! http://t.co/8ltDzTEcot http://t.co/lW6IHPmqoB
567866128522936320,2015-02-18 02:00:10 +0000,YouTube,"Whoa, sun. http://t.co/d6NXRO4lQ4 http://t.co/71gQjsgLai"
567851032555970560,2015-02-18 01:00:10 +0000,YouTube,You cannot mess with Magneto Cat. http://t.co/q3Yn2bdhA6 http://t.co/A8SpITnBna
567835928321990656,2015-02-18 00:00:09 +0000,YouTube,Solved! http://t.co/IXGjRhgQ1U http://t.co/d23nclysZr
567828989542326273,2015-02-17 23:32:35 +0000,YouTube,@Higgypop Every year? Why not every day? It's so catchy it hurts.
567828878618800128,2015-02-17 23:32:09 +0000,YouTube,@amylfarquhar Let us know when you're back and we'll catch you up on what you missed!
567828465416941568,2015-02-17 23:30:30 +0000,YouTube,@jamclayisbeast This might help next time! https://t.co/MmtZrdoOoM
567828246781370368,2015-02-17 23:29:38 +0000,YouTube,"@MatthewSantoro Of course! Also, FYI, you and Will Ferrell have the same birthday."
567828037288460288,2015-02-17 23:28:48 +0000,YouTube,@lifelemanda You can make pancakes out of bananas!? 🍌🍌🍌 Today was a good #PancakeDay.
567820843994259457,2015-02-17 23:00:13 +0000,YouTube,"If you’ve got the money, honey, @2CELLOS got your disease. http://t.co/7OFuM9Ijha http://t.co/rUCfvtYc6Q"
567805706146164737,2015-02-17 22:00:04 +0000,YouTube,Ariana-pocalypse Now! http://t.co/jgznCg5ebT #OneLastTime http://t.co/bOhIBwLbhq
567790731826585600,2015-02-17 21:00:34 +0000,YouTube,.@justinbieber prank calls a fan. http://t.co/jJ5J4ofy0O http://t.co/QgzMqUSczU
567775522659516416,2015-02-17 20:00:08 +0000,YouTube,It’s @edsheeran’s birthday. Let’s dance. http://t.co/FUgTM9BZhj #HappyBirthdayEdSheeran http://t.co/XOjJkjlQvo
567413151847960578,2015-02-16 20:00:12 +0000,YouTube,Happy Presidents Day! Celebrate with @ERBofHistory. http://t.co/2pbfVtLRgM http://t.co/xO3UmFPx9d
567398062075969536,2015-02-16 19:00:14 +0000,YouTube,.@AvrilLavigne's new video gives us what we like. http://t.co/7IAHIkzYpM http://t.co/2nJEk340kq
567382930763575296,2015-02-16 18:00:06 +0000,YouTube,Snow days are the best days. http://t.co/EIzvTd9iMx http://t.co/8HJZt0HAri
567367836881149953,2015-02-16 17:00:08 +0000,YouTube,Can you hear us now? http://t.co/SYhEwfUaNU http://t.co/RQjgnOMSeX
567050755128184833,2015-02-15 20:00:09 +0000,YouTube,Shoes aren't required when visiting the Shire. http://t.co/IxPnC8rP47 http://t.co/B5Nvpgd1Rb
567035642023247872,2015-02-15 19:00:06 +0000,YouTube,This is why people have children. http://t.co/VACH2Ly6eb
567020717766873088,2015-02-15 18:00:48 +0000,YouTube,Today feels like a good day for a Beck YouTube Mix. http://t.co/W82dZg9aDa http://t.co/tXYW93otXr
567005548072415232,2015-02-15 17:00:31 +0000,YouTube,Imagine Dragons' new music video is an art museum. http://t.co/nodi4GI3Mh http://t.co/DQPutHXlMy
566673378824962049,2015-02-14 19:00:36 +0000,YouTube,".@ivetesangalo kicks off today’s YouTube Carnaval celebrations in Salvador, Brazil. http://t.co/apK2vXz52E http://t.co/RZmayWTJTD"
566658163022516224,2015-02-14 18:00:08 +0000,YouTube,A playlist of delish desserts you can make for your boo. http://t.co/AjyQOnt2yV #HappyValentinesDay http://t.co/eJQdyqZDYz
566643118330880004,2015-02-14 17:00:21 +0000,YouTube,"O Ro-meow, o Ro-meow. wherefore art thou Ro-meow? @SimonsCat http://t.co/HGVWz84sCa http://t.co/4onmkK2kae"
566416574882787328,2015-02-14 02:00:09 +0000,YouTube,James Bond is in Austria and that makes us happy. http://t.co/Mh7k9GM9wK http://t.co/iBiIZHBXxA
566401474964754432,2015-02-14 01:00:09 +0000,YouTube,Falcon PUNCH … into space. http://t.co/DItJBy22Vb http://t.co/IciHT0jMKC
566386368486846465,2015-02-14 00:00:07 +0000,YouTube,Nothing says intimacy like four minutes of uninterrupted staring. http://t.co/MH492FzN61 http://t.co/PFEQVBWzEB
566371312277659651,2015-02-13 23:00:18 +0000,YouTube,.@Jenna_Marbles tests her doggies’ IQs. http://t.co/EwjQMUndhC http://t.co/MX7v8SmTFq
566370865433280513,2015-02-13 22:58:31 +0000,YouTube,@RadioVixxen Don't forget to take it dancing. A happy cow is a dancing cow. https://t.co/9fbDbBwBgb
566370775591301120,2015-02-13 22:58:10 +0000,YouTube,@DudePerfect Half a billion seconds is almost 16 years. Now ponder those half billion views. Congrats guys!
566370680695169025,2015-02-13 22:57:47 +0000,YouTube,"@MylesDyer Brilliant video, Miles. So inspiring!"
566370545433055232,2015-02-13 22:57:15 +0000,YouTube,@joelmicallef Congrats! Now on to the upload.
566370408933634048,2015-02-13 22:56:42 +0000,YouTube,"@SurnPolitics You're welcome! As we say, auto-play all day."
566370116565475328,2015-02-13 22:55:33 +0000,YouTube,"@pewdiepie @Jack_Septic_Eye Nice feng shui skills, guys."
566369836390170624,2015-02-13 22:54:26 +0000,YouTube,@MatthewSantoro Guess today was luckier than expected!
566356177693724672,2015-02-13 22:00:09 +0000,YouTube,Fly through the air like you just don't care. @StokkeAllison http://t.co/f1bBSoU4aZ http://t.co/GWAv0PpSDy
566341134105214977,2015-02-13 21:00:23 +0000,YouTube,The little girl from Missy Elliott's video is all grown up. @AlysonOnTour http://t.co/gBRlPBC4uP http://t.co/LXQ17vgP25
566295756785844224,2015-02-13 18:00:04 +0000,YouTube,Happy Friday the 13th. Superstitious much? http://t.co/6KyPEHgu94 http://t.co/jP88QyYA5E
566276924092477441,2015-02-13 16:45:14 +0000,YouTube,Valentine’s Day came early. Thanks @taylorswift13 ❤️ http://t.co/euVsjOfSP7 #STYLEmusicvideo http://t.co/YdQ11NJG3z
566054374850703361,2015-02-13 02:00:54 +0000,YouTube,"The ""real"" story behind the crossguard lightsaber. http://t.co/9Jc5myCy5C http://t.co/rv141m1wFg"
566040328265031681,2015-02-13 01:05:05 +0000,YouTube,[LIVE] Kevin Durant and @kanyewest host the first ever Roc City Classic. http://t.co/CGjG56PIp7 http://t.co/A6dPt2HFet
566023980860313600,2015-02-13 00:00:07 +0000,YouTube,Amen. #TakeMeToChurch http://t.co/G7Er8S9UM3 http://t.co/o58KJGshWO
566008912995180544,2015-02-12 23:00:15 +0000,YouTube,This guy's done changed the microwave game. http://t.co/sWFwBWY75j http://t.co/mP4uVQ6JkG
565993768659480577,2015-02-12 22:00:04 +0000,YouTube,EDM goes wild with @CalvinHarris and @HAIMtheband http://t.co/Erw9ec4QBH #EquestrianDanceMusic http://t.co/TqF8MTyakQ
565978715667308544,2015-02-12 21:00:15 +0000,YouTube,.@MirandaSings and @ColleenB123 meet yet again. http://t.co/xAapCbOh65 http://t.co/sA7HOxmlNu
565963571683942400,2015-02-12 20:00:05 +0000,YouTube,Florence + The Machine release a masterpiece that may be about the ocean. Or the sky. http://t.co/6jhrjW909k http://t.co/3kSGgHizjc
565917885114355713,2015-02-12 16:58:32 +0000,YouTube,Don’t drop the ring. http://t.co/rQoZ5CaGHP #WhatIsLoveIn4Words http://t.co/luHcA0UxPl
565710661754576896,2015-02-12 03:15:06 +0000,YouTube,The fanciest rematch between two gentlemen: @CaptainSparklez and @markiplier. http://t.co/lhQTVd8laO http://t.co/eWvtefw1jI
565695578462756865,2015-02-12 02:15:10 +0000,YouTube,"Jimmy Fallon & Jamie Dornan read ""Fifty Shades of Grey"" with the help of an accent generator. http://t.co/uBdpSixYRw http://t.co/th55ZCcPxX"
565680453693501440,2015-02-12 01:15:04 +0000,YouTube,"All you need is love this Valentine's Day, and this new look from @ZozeeBo. http://t.co/HeVdwI8Aab http://t.co/ig1uDcK54z"
565665356069744640,2015-02-12 00:15:05 +0000,YouTube,Bey-hind the scenes of #Beyonce's #Grammy performance. http://t.co/6PTbLLFxVb http://t.co/rmV3P7Nrlt
565650254973124610,2015-02-11 23:15:04 +0000,YouTube,.@RosannaPansino melts hearts and chocolates. http://t.co/SGCBAQYZf4 http://t.co/wiT8bmb09i
565635164194500608,2015-02-11 22:15:06 +0000,YouTube,Beep. Boop. Woof. http://t.co/diEhifKNyO http://t.co/7Opv1PMrkb
565620058962272256,2015-02-11 21:15:05 +0000,YouTube,.@charli_xcx brings a plateful of punk to a #Tswift classic. http://t.co/qoMKIWe22L http://t.co/hagZ41cbpb
565604961787346946,2015-02-11 20:15:05 +0000,YouTube,Jon Stewart delivers his biggest announcement yet. http://t.co/NLE38cP23B http://t.co/EdzK9J21H1
565359597381500928,2015-02-11 04:00:06 +0000,YouTube,Whooo ... you looking at? http://t.co/21JDnpKMEQ http://t.co/mtZKQzjhXg
