ID,Posted at,Screen name,Text
569271533236916224,2015-02-21 23:04:44 +0000,justinbieber,@scooterbraun very normal.
568911871006240768,2015-02-20 23:15:34 +0000,justinbieber,RT @AppStore: .@floydmayweather is making a big announcement today inside @shots #MayweatherPacquiao see it here first: https://t.co/Ne21G0Nhg1
568636533596495872,2015-02-20 05:01:29 +0000,justinbieber,RT @TheEllenShow: Yeah I did. RT @justinbieber: I think today was our best hang out yet. @TheEllenShow u got me. Lol http://t.co/9JQRliXVHX
568594422385881089,2015-02-20 02:14:08 +0000,justinbieber,I think today was our best hang out yet. @TheEllenShow u got me. Lol
568594043174666241,2015-02-20 02:12:38 +0000,justinbieber,RT @andpop: .@JustinBieber twerks & makes things awkward in the new 'Repeat After Me' promo! WATCH: http://t.co/9HqVylI4VD http://t.co/z3bP5If3s4
568300262575616000,2015-02-19 06:45:15 +0000,justinbieber,RT @TheEllenShow: You bet!  o/ \o (that’s us high-fiving) RT @justinbieber: @TheEllenShow again this week? ;) miss me?
568300237195853824,2015-02-19 06:45:09 +0000,justinbieber,@YeshuaTheGudwin yep
568300207814746112,2015-02-19 06:45:02 +0000,justinbieber,RT @YeshuaTheGudwin: @justinbieber love seeing you writing and focused!!!
568167564708175872,2015-02-18 21:57:58 +0000,justinbieber,@TheEllenShow again this week? ;) miss me?
568167492096380928,2015-02-18 21:57:40 +0000,justinbieber,RT @MTV: Time to get excited for @carlyraejepsen #IReallyLikeYou video: http://t.co/bvPUSyouvr http://t.co/CSjDdxb5rR
568167440225447936,2015-02-18 21:57:28 +0000,justinbieber,@Much thanks
568167252383498241,2015-02-18 21:56:43 +0000,justinbieber,Good studio vibes last night @YeshuaTheGudwin
568167147014221824,2015-02-18 21:56:18 +0000,justinbieber,@CodySimpson good job bro
568085926347288576,2015-02-18 16:33:34 +0000,justinbieber,RT @usatodaylife: This is everything http://t.co/5vwpJWm9q5 http://t.co/13JkxudLRA
567750258650669056,2015-02-17 18:19:44 +0000,justinbieber,@ComedyCentral lol. Bring it on @KevinHart4real. #BieberRoast
567750036256088064,2015-02-17 18:18:51 +0000,justinbieber,"RT @ComedyCentral: Watch @justinbieber learn how poor, defenseless houses feel. The #BieberRoast premieres March 30.
https://t.co/yJH5D9exTM"
567748334748590082,2015-02-17 18:12:05 +0000,justinbieber,@scooterbraun @KevinHart4real @RyanSeacrest yeah I'm nervous Kev. But I'm ready...kinda 😜
567747882489356288,2015-02-17 18:10:18 +0000,justinbieber,"RT @scooterbraun: I love @KevinHart4real. Get ready @justinbieber for the ""baby black angel!"" Lol. #BieberRoast http://t.co/LNvGLvc6Xo cc @RyanSeacrest"
567546003570425857,2015-02-17 04:48:06 +0000,justinbieber,:) https://t.co/2jc22bpTUB
567515519197007872,2015-02-17 02:46:58 +0000,justinbieber,@TheEllenShow see u this week :)
