ID,Posted at,Screen name,Text
569323944320348160,2015-02-22 02:33:00 +0000,khloekardashian,Join the fight against pediatric cancer by donating to @THON! #CancerCannot win! #FTK
569213141508337664,2015-02-21 19:12:43 +0000,khloekardashian,Happy birthday @jonathancheban!!! You make me laugh like no one else! God I love you!!! http://t.co/V78nxAIagy
569179819193344000,2015-02-21 17:00:18 +0000,khloekardashian,Sending everyone at @THON tons of strength! What you are doing is truly incredible! #FTK
569175946596630528,2015-02-21 16:44:55 +0000,khloekardashian,"A good cut, color or style makes all the difference in your attitude!! Give back to your local… http://t.co/e1xF60MhGm"
568984976760418304,2015-02-21 04:06:04 +0000,khloekardashian,📷 http://t.co/ong9VdHDsU
568970196255449088,2015-02-21 03:07:20 +0000,khloekardashian,Such a gorgeous arrangement sent by a gorgeous soul!!! Thank you jeffleatham for making me smile and… http://t.co/gWIC6v2kXx
568939609255747584,2015-02-21 01:05:47 +0000,khloekardashian,Last run of the day! ❄️🎿🏂❄️ http://t.co/ZMMsAq55FV
568908082497126400,2015-02-20 23:00:31 +0000,khloekardashian,Good luck to everyone participating in #THON2015! You all are amazing! #CancerCannot win! #FTK
568896546235912192,2015-02-20 22:14:40 +0000,khloekardashian,Sisters!!!! http://t.co/WYOa1d7ggw
568894027241791488,2015-02-20 22:04:40 +0000,khloekardashian,🎿❄️🏂 http://t.co/bDFqBiFaDE
568840299277099008,2015-02-20 18:31:10 +0000,khloekardashian,Who loves our Double Dip Intensifier?! #KardashianGlow
568836270560022528,2015-02-20 18:15:10 +0000,khloekardashian,The fire rises!!! 🔥🔥🔥 http://t.co/LxBYKIFy8Q
568835578529243136,2015-02-20 18:12:25 +0000,khloekardashian,My boos Scotty and Kylie know @kbeautyhair Is where it's at!! Reposting from @thescottycunha: straight… http://t.co/DSfV64UpAL
568614764902875137,2015-02-20 03:34:58 +0000,khloekardashian,Staying warm on the slopes in my @mooseknuckles jacket!!! ❄️🎿 http://t.co/J7lXndWhQy
568521428280020994,2015-02-19 21:24:05 +0000,khloekardashian,I can't believe we did this!!! 🎿🏂🚁❄️ http://t.co/98ROPuKGjj
568486187314384898,2015-02-19 19:04:03 +0000,khloekardashian,Heli skiing with my heli babe #OnlyTheBraveWillSurvive 🚁🎿🏂 http://t.co/Fj8x3YdLtt
568174002558140418,2015-02-18 22:23:33 +0000,khloekardashian,Check out my Yahoo! Beauty feature about all things Kardashian Beauty @yahoobeauty @hilary_she http://t.co/hAJTBKAkIR
568124488019267586,2015-02-18 19:06:47 +0000,khloekardashian,My flying partna!!! http://t.co/8yzZTZ0cEt
568121188121231361,2015-02-18 18:53:41 +0000,khloekardashian,And I'm off ✈️ http://t.co/ADl9ATY7rc
568116698911510529,2015-02-18 18:35:50 +0000,khloekardashian,"Repost from lorenzomartinjr:
You want it? I can tell you how to get it!! 😜 1. Apply K- Body Volume… http://t.co/H8AEidXDde"
568111317426548736,2015-02-18 18:14:27 +0000,khloekardashian,I'm seeing so much @kbeautyhair love!!! Don't forget to Tag me in your #kardashianbeauty pictures… http://t.co/Btcict9x7g
567898509283713024,2015-02-18 04:08:50 +0000,khloekardashian,Nothing like watching a Chrisley knows best marathon
567868967722844160,2015-02-18 02:11:27 +0000,khloekardashian,Hehehehe that's me!! Lol http://t.co/HVyP9qNO9m
567734437153341441,2015-02-17 17:16:52 +0000,khloekardashian,"In love with these @thek_kollection 
White HOT pumps  🔥http://t.co/eh1DqhqKae http://t.co/R0SoPWnckb"
567589636596576256,2015-02-17 07:41:29 +0000,khloekardashian,"Coming home to my closet full of goodies!!! Yeezy's, Demi's new skin care line @Devonnebydemi, high… http://t.co/vVJmo1R4mf"
567579356998815744,2015-02-17 07:00:38 +0000,khloekardashian,RT @adidasoriginals: The story behind @kanyewest's #adidasOriginals collection Yeezy Season One from @styledotcom: http://t.co/CRNLkbW2Gw http://t.co/8ep5Ybx95g
567579215973732354,2015-02-17 07:00:04 +0000,khloekardashian,So proud of you Ye http://t.co/l5cKQlMLiq 😻😻😻
567578922456326144,2015-02-17 06:58:54 +0000,khloekardashian,RT @KimKardashian: Front page of http://t.co/UX9kYzlV74!!!!!! #Yeezy #Adidas #YeezyDoesIt!!!!! http://t.co/eVorip6kwW
567577610289307648,2015-02-17 06:53:42 +0000,khloekardashian,LA I missed you!!!! So spoiled by this weather ♥ #HomeSweetHome
567438243600162817,2015-02-16 21:39:54 +0000,khloekardashian,I'm sad I'm leaving my beautiful flowers from Kylie.... So Kendall I had them sent to your room! Enjoy sister! bye bye NYC its too cold 4me
567425731659968512,2015-02-16 20:50:11 +0000,khloekardashian,My point was proven. She can't even wait 10 mins before mentioning one of our names SMH
567408491854565376,2015-02-16 19:41:41 +0000,khloekardashian,@DaRealAmberRose  I guess people love to call us all whores. Easiest jab to throw. It is what it is. We still livin though.
567408208722296835,2015-02-16 19:40:33 +0000,khloekardashian,"@DaRealAmberRose lol #DontPanic well damn, I didn't realize I called you a whore… But at the end of the day"
567402155209142272,2015-02-16 19:16:30 +0000,khloekardashian,“@DASHPlanet: When you ask your friends not to be too obvious and they do this http://t.co/RQOYfG0QV2” this is me lol
567401654556033026,2015-02-16 19:14:30 +0000,khloekardashian,RT @lolquotecomedy: We could all learn a thing or two from Keegan http://t.co/Akdt4HTWep
567401447189676034,2015-02-16 19:13:41 +0000,khloekardashian,RT @lolquotecomedy: when you're finally home alone and u can be yourself http://t.co/JE70rEhKjQ
567393590171549696,2015-02-16 18:42:28 +0000,khloekardashian,"3 sides to EVERY story. His, hers and the truth. I'm not passing judgment but I wish others would do the same until they have FACTS."
567388849018773505,2015-02-16 18:23:37 +0000,khloekardashian,if I actually knew them and or had my own personal history with them. I would think others would want the same respect.
567388826923204608,2015-02-16 18:23:32 +0000,khloekardashian,That's unfair. We all hear things via social media or blogs but I would only want to comment on someone (3)
567388756853141505,2015-02-16 18:23:15 +0000,khloekardashian,these people. I don't know Amber so why would I comment on her. I'm not going to comment on someone I don't know. (2)
567388691665268737,2015-02-16 18:23:00 +0000,khloekardashian,We get asked questions about people all the time and my sisters and I always take the high road and don't answer. Truth is we don't know (1)
567387140406116355,2015-02-16 18:16:50 +0000,khloekardashian,W @jaileenieweenie: “to provide for her family wyd” not mad she was a stripper. But dont say my sister should be in bed by 7 when she wasn't
567386691439435776,2015-02-16 18:15:03 +0000,khloekardashian,“@jaileenieweenie: “to provide for her family wyd” not mad she was a stripper. But dont say my sister should be in bed by 7 when she wasn't
567384719407742976,2015-02-16 18:07:13 +0000,khloekardashian,They say milk does a body good but I say @premadonna87 #Waistgang does it better 😻😻😻 I felt cute… http://t.co/tC6ygYibw6
567383050942947328,2015-02-16 18:00:35 +0000,khloekardashian,Please stop talking about us in interviews mama. None of us talk about you. (3)
567382959393886209,2015-02-16 18:00:13 +0000,khloekardashian,@khloekardashian: together at ONLY 17 🐸☕️ people who live in glass houses shouldn't throw stones. (2)
567382846508400640,2015-02-16 17:59:46 +0000,khloekardashian,"“I was a stripper since I was 15 years old,” Amber Rose told Foxx. Please don't worry about my sister who has a career & her shit (1)"
567278568171114496,2015-02-16 11:05:24 +0000,khloekardashian,I fall more in love every single day! http://t.co/HlLk1FB6fP
566803935231766528,2015-02-15 03:39:23 +0000,khloekardashian,My forever valentine @forevermalika 💋 http://t.co/Hjflde7hNA
566740837661696001,2015-02-14 23:28:39 +0000,khloekardashian,Happy Valentines Day!!  🌹🌹🌹 and 💎💎💎  #LuckyLady 🐸🐩🐼 http://t.co/2W25wuAvOl
566714784666882048,2015-02-14 21:45:08 +0000,khloekardashian,Happy valentine's Day normiejenner http://t.co/BNfuDZtKKj
566544099655045121,2015-02-14 10:26:53 +0000,khloekardashian,Mob http://t.co/mQoUm0p1Zr
566473278009913344,2015-02-14 05:45:28 +0000,khloekardashian,It was so cold that our faces literally wouldn't allow us to smile. 😝 http://t.co/uDO5gBmjfs
566472450301763584,2015-02-14 05:42:11 +0000,khloekardashian,Backstage at the Yeezy show #YeezySeason http://t.co/8Fc1zB92CI
566471382805250049,2015-02-14 05:37:56 +0000,khloekardashian,Kendall x Khloe http://t.co/d5TomRNLii
566013595616804865,2015-02-12 23:18:51 +0000,khloekardashian,#YeezySeason http://t.co/YnorSEao6U
