ID,Posted at,Screen name,Text
569347879409721345,2015-02-22 04:08:07 +0000,nytimes,"Follow @NYTimesArts for Oscars winners, reporting and analysis tomorrow night."
569347025805967361,2015-02-22 04:04:43 +0000,nytimes,"RT @Wendo20: Despite all the coverage, the horror continues at Rikers, via @nytimes http://t.co/DicsGy3cW6"
569346872999079937,2015-02-22 04:04:07 +0000,nytimes,"Herman Rosenblat, 85, Dies; Made Up Holocaust Love Story http://t.co/VX7bDhzOW3"
569346099179335680,2015-02-22 04:01:02 +0000,nytimes,RT @nytopinion: Beware the Beagle: Our dog had an unlimited capacity for mayhem. http://t.co/pslraR1nTT http://t.co/3DNdAGKlka
569345876403081216,2015-02-22 04:00:09 +0000,nytimes,"He left his friends, family and a life of guilty pleasures in Egypt to join ISIS http://t.co/4YZaZjwHhL http://t.co/ZUiupL1Al0"
569345119222149121,2015-02-22 03:57:09 +0000,nytimes,"Turkish Military Enters Syria to Evacuate Soldiers Guarding Tomb, Reports Say http://t.co/fDjLMLoNyd"
569342352361459713,2015-02-22 03:46:09 +0000,nytimes,"Before adding butter and salt, delve into the physics of popcorn http://t.co/NtW8x6u9is"
569341155491647488,2015-02-22 03:41:23 +0000,nytimes,Photos: Six Sports and a Cloud of Dust http://t.co/iF4PQOcDSD
569338049441755136,2015-02-22 03:29:03 +0000,nytimes,"""We take pictures of pretty girls and sell to men that like to look at girls"" http://t.co/O7OKjfaSex http://t.co/CzcFxISJPB"
569334553904599040,2015-02-22 03:15:10 +0000,nytimes,"""Everything about living in New York without having to live in New York"" http://t.co/GWmaiOQ0Zc http://t.co/FC7LkVSQN4"
569330514886320128,2015-02-22 02:59:07 +0000,nytimes,"Oliver Sacks on learning he has terminal cancer: ""I cannot pretend I am without fear."" http://t.co/NQihUeWVLU http://t.co/BEZp5fmkRf"
569326739203223552,2015-02-22 02:44:06 +0000,nytimes,"After Charlie Hebdo, France’s ultranationalist fringe party isn’t so fringe anymore http://t.co/iqU0aDR8Vl http://t.co/LAsQuwbqiX"
569322458836279296,2015-02-22 02:27:06 +0000,nytimes,What one writer learned from watching a week of Russian TV http://t.co/gFSdVjY4ZI http://t.co/REu4ntLnjO
569318691646664706,2015-02-22 02:12:08 +0000,nytimes,3-D printed prosthetics for kids are inexpensive and might hint at comic-book superpowers http://t.co/t4BCUKmzcY http://t.co/sZIVoqSCYi
569315423273029632,2015-02-22 01:59:08 +0000,nytimes,"At Chipotle, how many calories do people really eat? http://t.co/g4B1C6AKFD http://t.co/RtfYAWOSlR"
569314011122143232,2015-02-22 01:53:32 +0000,nytimes,Peter Lik’s Recipe for Success: Sell Prints. Print Money. http://t.co/DrYLwV0PNj
569311624261210112,2015-02-22 01:44:03 +0000,nytimes,Gun rights activists have a new argument: Arming female students at colleges will help reduce sexual assaults. http://t.co/5yXm0bBKjW
569308162102325248,2015-02-22 01:30:17 +0000,nytimes,Ukraine Town Eases Back Into Life After Deadly Week of Fighting http://t.co/xPo7mz11mX
