ID,Posted at,Screen name,Text
569338807301984256,2015-02-22 03:32:04 +0000,wizkhalifa,committed to ink. http://t.co/PjGWashzLK
569338555664740352,2015-02-22 03:31:04 +0000,wizkhalifa,time to get more shading done.
569335944572043266,2015-02-22 03:20:41 +0000,wizkhalifa,"@imTaylord 

loved it. I'll show bash soon as I get him :)"
569335784395780096,2015-02-22 03:20:03 +0000,wizkhalifa,my brothers just had a loss in the fam which is never easy. cherish each moment.
569335571203534848,2015-02-22 03:19:12 +0000,wizkhalifa,"@OGMaco 

Thank you sir."
569333218874228737,2015-02-22 03:09:51 +0000,wizkhalifa,i feel like its my responsibility to make sure you have the truth and aren't misguided so we can all move like bosses.
569321564795043841,2015-02-22 02:23:33 +0000,wizkhalifa,i always kept my views on family and stability clear and stood by them just as I do anything else I feel strongly about.
569320717654716416,2015-02-22 02:20:11 +0000,wizkhalifa,anyone who really knows me knows that I never cheated on amber.
569315240254386176,2015-02-22 01:58:25 +0000,wizkhalifa,hummingbirds are extremely territorial so don't fuck with one.
569314401515237377,2015-02-22 01:55:05 +0000,wizkhalifa,daddy's gettin a hummingbird tattoo. that's fire.
569302072799014912,2015-02-22 01:06:05 +0000,wizkhalifa,"@JoyceTGOD 

thanks joyce <3"
569301425538207744,2015-02-22 01:03:31 +0000,wizkhalifa,"as a man, and a dad you'll feel like "" I got this"". but who got us?"
569300912256065536,2015-02-22 01:01:29 +0000,wizkhalifa,"standing up for all fathers who need, deserve, or can't find help."
569297750841364480,2015-02-22 00:48:55 +0000,wizkhalifa,http://t.co/CKoOwxf2ui
569297532750180352,2015-02-22 00:48:03 +0000,wizkhalifa,downloading positive vibes. let's all smile at the same time.
569295453168148480,2015-02-22 00:39:47 +0000,wizkhalifa,they raised me normal and want the same for my son without the evil that fame brings.
569294179374800898,2015-02-22 00:34:43 +0000,wizkhalifa,very greatful for my amazing support system right now. especially my mom and dad. this is tough for them too.
569292816607617025,2015-02-22 00:29:19 +0000,wizkhalifa,"@ernestestime 

thanx ern."
569292026610454528,2015-02-22 00:26:10 +0000,wizkhalifa,"@BJayBlast @D0NTSPAMMECUH 

that made me smile."
569272370894016512,2015-02-21 23:08:04 +0000,wizkhalifa,im even at a point where I feel I have no other options and i just need some help.
569272208607965184,2015-02-21 23:07:25 +0000,wizkhalifa,we need to talk to each more and empower each other to peruse our own happiness because the illusion is strong.
569272035198644224,2015-02-21 23:06:44 +0000,wizkhalifa,I know a lot of people have that same fear and I'm just like you.
569271679181934592,2015-02-21 23:05:19 +0000,wizkhalifa,ive never voiced my true unhappiness out of fear of the person I was with and what she would do to make me more unhappy of anyone knew
569270962023067648,2015-02-21 23:02:28 +0000,wizkhalifa,not to tear anyone down but to show our similar struggles and not just what the media portrays.
569270661698297856,2015-02-21 23:01:16 +0000,wizkhalifa,it's sad because there are real people who go through real things and could use social media as a tool to help shed some light.
569260894699388928,2015-02-21 22:22:28 +0000,wizkhalifa,Let's all cut this for my boogie boo. http://t.co/8ZrPMOmbyQ
569260012666621952,2015-02-21 22:18:58 +0000,wizkhalifa,Only thing missing was bash. http://t.co/SdxYzIf595
569194876627128323,2015-02-21 18:00:08 +0000,wizkhalifa,we bout to party super hard for my young prince. #BashDay
569194523101769728,2015-02-21 17:58:44 +0000,wizkhalifa,RT @txxcheecha13: #BashDay 🎈
